V1,V2,V3
-125.505511811024,44.9664804469274,-2766
-125.488779527559,44.9664804469274,-2767
-125.472047244094,44.9664804469274,-2774
-125.45531496063,44.9664804469274,-2798
-125.438582677165,44.9664804469274,-2799
-125.421850393701,44.9664804469274,-2776
-125.405118110236,44.9664804469274,-2665
-125.388385826772,44.9664804469274,-2559
-125.371653543307,44.9664804469274,-2465
-125.354921259843,44.9664804469274,-2454
-125.338188976378,44.9664804469274,-2329
-125.321456692913,44.9664804469274,-2055
-125.304724409449,44.9664804469274,-1967
-125.287992125984,44.9664804469274,-1928
-125.27125984252,44.9664804469274,-1485
-125.254527559055,44.9664804469274,-1230
-125.237795275591,44.9664804469274,-1292
-125.221062992126,44.9664804469274,-1215
-125.204330708661,44.9664804469274,-1316
-125.187598425197,44.9664804469274,-1377
-125.170866141732,44.9664804469274,-1543
-125.154133858268,44.9664804469274,-1521
-125.137401574803,44.9664804469274,-1282
-125.120669291339,44.9664804469274,-1222
-125.103937007874,44.9664804469274,-1233
-125.087204724409,44.9664804469274,-1186
-125.070472440945,44.9664804469274,-1136
-125.05374015748,44.9664804469274,-1119
-125.037007874016,44.9664804469274,-1031
-125.020275590551,44.9664804469274,-1008
-125.003543307087,44.9664804469274,-953
-124.986811023622,44.9664804469274,-881
-124.970078740157,44.9664804469274,-700
-124.953346456693,44.9664804469274,-618
-124.936614173228,44.9664804469274,-651
-124.919881889764,44.9664804469274,-659
-124.903149606299,44.9664804469274,-584
-124.886417322835,44.9664804469274,-603
-124.86968503937,44.9664804469274,-617
-124.852952755906,44.9664804469274,-611
-124.836220472441,44.9664804469274,-611
-124.819488188976,44.9664804469274,-542
-124.802755905512,44.9664804469274,-530
-124.786023622047,44.9664804469274,-530
-124.769291338583,44.9664804469274,-568
-124.752559055118,44.9664804469274,-579
-124.735826771654,44.9664804469274,-563
-124.719094488189,44.9664804469274,-531
-124.702362204724,44.9664804469274,-483
-124.68562992126,44.9664804469274,-454
-124.668897637795,44.9664804469274,-444
-124.652165354331,44.9664804469274,-451
-124.635433070866,44.9664804469274,-450
-124.618700787402,44.9664804469274,-451
-124.601968503937,44.9664804469274,-452
-124.585236220472,44.9664804469274,-451
-124.568503937008,44.9664804469274,-446
-124.551771653543,44.9664804469274,-438
-124.535039370079,44.9664804469274,-427
-124.518307086614,44.9664804469274,-405
-124.50157480315,44.9664804469274,-381
-124.484842519685,44.9664804469274,-350
-124.46811023622,44.9664804469274,-315
-124.451377952756,44.9664804469274,-286
-124.434645669291,44.9664804469274,-253
-124.417913385827,44.9664804469274,-233
-124.401181102362,44.9664804469274,-215
-124.384448818898,44.9664804469274,-198
-124.367716535433,44.9664804469274,-184
-124.350984251968,44.9664804469274,-173
-124.334251968504,44.9664804469274,-167
-124.317519685039,44.9664804469274,-162
-124.300787401575,44.9664804469274,-159
-124.28405511811,44.9664804469274,-155
-124.267322834646,44.9664804469274,-150
-124.250590551181,44.9664804469274,-139
-124.233858267717,44.9664804469274,-126
-124.217125984252,44.9664804469274,-120
-124.200393700787,44.9664804469274,-112
-124.183661417323,44.9664804469274,-104
-124.166929133858,44.9664804469274,-97
-124.150196850394,44.9664804469274,-92
-124.133464566929,44.9664804469274,-82
-124.116732283465,44.9664804469274,-69
-124.1,44.9664804469274,-60
-124.083267716535,44.9664804469274,-56
-124.066535433071,44.9664804469274,-37
-124.049803149606,44.9664804469274,-29
-124.033070866142,44.9664804469274,-13
-124.016338582677,44.9664804469274,24
-123.999606299213,44.9664804469274,63
-123.982874015748,44.9664804469274,88
-123.966141732283,44.9664804469274,112
-123.949409448819,44.9664804469274,140
-123.932677165354,44.9664804469274,236
-123.91594488189,44.9664804469274,237
-123.899212598425,44.9664804469274,304
-123.882480314961,44.9664804469274,339
-123.865748031496,44.9664804469274,416
-123.849015748031,44.9664804469274,425
-123.832283464567,44.9664804469274,419
-123.815551181102,44.9664804469274,502
-123.798818897638,44.9664804469274,654
-123.782086614173,44.9664804469274,867
-123.765354330709,44.9664804469274,777
-123.748622047244,44.9664804469274,711
-123.73188976378,44.9664804469274,657
-123.715157480315,44.9664804469274,656
-123.69842519685,44.9664804469274,608
-123.681692913386,44.9664804469274,729
-123.664960629921,44.9664804469274,743
-123.648228346457,44.9664804469274,799
-123.631496062992,44.9664804469274,855
-123.614763779528,44.9664804469274,869
-123.598031496063,44.9664804469274,777
-123.581299212598,44.9664804469274,688
-123.564566929134,44.9664804469274,540
-123.547834645669,44.9664804469274,549
-123.531102362205,44.9664804469274,479
-123.51437007874,44.9664804469274,584
-123.497637795276,44.9664804469274,541
-123.480905511811,44.9664804469274,611
-123.464173228346,44.9664804469274,446
-123.447440944882,44.9664804469274,484
-123.430708661417,44.9664804469274,573
-123.413976377953,44.9664804469274,510
-123.397244094488,44.9664804469274,387
-123.380511811024,44.9664804469274,263
-123.363779527559,44.9664804469274,204
-123.347047244094,44.9664804469274,185
-123.33031496063,44.9664804469274,163
-123.313582677165,44.9664804469274,131
-123.296850393701,44.9664804469274,101
-123.280118110236,44.9664804469274,87
-123.263385826772,44.9664804469274,66
-123.246653543307,44.9664804469274,59
-123.229921259843,44.9664804469274,58
-123.213188976378,44.9664804469274,61
-123.196456692913,44.9664804469274,53
-123.179724409449,44.9664804469274,58
-123.162992125984,44.9664804469274,71
-123.14625984252,44.9664804469274,113
-123.129527559055,44.9664804469274,233
-123.112795275591,44.9664804469274,223
-123.096062992126,44.9664804469274,161
-123.079330708661,44.9664804469274,113
-123.062598425197,44.9664804469274,79
-123.045866141732,44.9664804469274,49
-123.029133858268,44.9664804469274,47
-123.012401574803,44.9664804469274,53
-122.995669291339,44.9664804469274,61
-122.978937007874,44.9664804469274,63
-122.962204724409,44.9664804469274,62
-122.945472440945,44.9664804469274,60
-122.92874015748,44.9664804469274,62
-122.912007874016,44.9664804469274,60
-122.895275590551,44.9664804469274,66
-122.878543307087,44.9664804469274,65
-122.861811023622,44.9664804469274,65
-122.845078740157,44.9664804469274,85
-122.828346456693,44.9664804469274,111
-122.811614173228,44.9664804469274,127
-122.794881889764,44.9664804469274,163
-122.778149606299,44.9664804469274,171
-122.761417322835,44.9664804469274,201
-122.74468503937,44.9664804469274,250
-122.727952755906,44.9664804469274,297
-122.711220472441,44.9664804469274,283
-122.694488188976,44.9664804469274,398
-122.677755905512,44.9664804469274,437
-122.661023622047,44.9664804469274,486
-122.644291338583,44.9664804469274,482
-122.627559055118,44.9664804469274,347
-122.610826771654,44.9664804469274,359
-122.594094488189,44.9664804469274,382
-122.577362204724,44.9664804469274,436
